Salitang-ugat,Pangnagdaan,Pangkasalukuyan,Panghinaharap,Pawatas,Katatapos
ilipat,inilipat  ,inililipat  ,ililipat ,ilipat ,kalilipat 
ingat,nagingat ,nagiingat ,magiingat ,magingat ,kaiingat 
ingatan,iningatan ,iniingatan ,iingatan ,ingatan , 
inom,uminom  ,umiinom  ,iinom ,uminom ,kaiinom 
inumin,ininom  ,iniinom  ,iinumin ,inumin , 
iplano,iplinano ,ipinaplano ,ipaplano ,iplano , 
ipon,nagipon  ,nagiipon  ,magiipon ,magipon ,kaiipon 
isampay,isinampay ,isinasampay ,isasampay ,isampay ,kasasampay 
isara,isinara  ,isinasara  ,isasara ,isara , 
isip,nagisip ,nagiisip  ,magiiisip ,magisip ,kaiisip 
isip,naisip  ,naiisip  ,maiisip ,maisip ,kaiisip 
isipin,inisip ,iniisip ,iisipin ,isipin , 
isuot,isinuot  ,isinusuot  ,isusuot ,isuot , 
itago,itinago ,itinatago ,itatago ,itago , 
itapon,itinapon  ,itinatapon  ,itatapon ,itapon , 
itulak,itinulak  ,itinutulak  ,itutulak ,itulak , 
iwas,umiwas ,umiiwas ,iiwas ,umiwas ,kaiiwas 
iwasan,iniwasan ,iniiwasan ,iiwasan ,iwasan , 
iwasto,iniwasto ,iniwawasto ,iwawasto ,iwasto , 
iyak,umiyak  ,umiiyak  ,iiyak ,umiyak ,kaiiyak 
iyakan,iniyakan ,iniiyakan ,iiyakan ,iyakan , 
